GB801020152,000526321-0103
GB801020150,000427951-0103
GB801161789,000531696-0403
GB801091111,000551501-0103
GB801091110,000368453-0103
GB801941994,000143148-0101
GB801101243,000206114-0103
GB801091115,000519082-0102
GB801161786,000896271-0103
GB801101242,000140578-0103
GB801091114,000304761-0103
GB801091117,000424736-0103
GB801010100,000287943-0403
GB802060018,000425591-0503
GB801962207,000129541-0801
GB801962206,000188928-0401
GB801111291,000879864-0103
GB801962205,000285432-0103
GB801151738,000556151-0401
GB801111290,000504127-0403
GB801101239,000205658-0102
GB801941987,000420156-0103
GB801151733,000188691-0403
GB801010106,000373535-0403
GB802930033,000521691-0504
GB801101235,000337391-0303
GB801151731,000414661-0103
GB801010108,000238385-0103
GB801972267,000510319-0403
GB802140017,000414713-0601
DB802110004,000438572-0506
GB801111294,000194202-0102
GB801161798,000541859-0206
GB801161799,000559499-0102
GB801091121,000391573-0103
GB801091124,000103297-0103
GB801091123,000558071-0103
GB801161796,000436679-0101
GB801101232,001404019-0403
GB801091126,000498857-0102
GB801161797,000607704-0401
GB801161790,000473227-0303
GB801962201,000356361-0102
GB801151728,000388745-0103
GB801010111,000444304-0308
GB801151729,000377463-0404
GB801010113,000284376-0401
GB801151727,000903957-0403
GB802060004,000170115-0505
GB801972270,000140445-0401
GB80195S4-2,000527149-0103
GB801101224,002309549-0103
GB801151721,001247376-0402
GB801020157,000283433-0103
GB801192038,000865861-0103
GB801161766,000432981-0103
GB801161761,000315204-0403
GB801101223,000193022-0103
GB801101222,000923579-0403
GB801161763,000256906-0403
GB801101221,000285008-0103
GB801941973,000483435-0402
GB801101220,000522995-0103
GB801941970,000856851-0101
GB802850051,000541911-0505
GB801941971,000115035-0401
GB801101219,000338702-0103
GB801101217,000500589-0403
GB801101214,001835748-0401
GB801151750,002055273-0102
GB802210001,002979448-0505
GB801161776,000367113-0103
GB801161772,000302083-0103
GB801091103,000524755-0403
GB801941982,000207224-0403
GB801091105,000499967-0102
GB801161770,001608594-0103
GB801941980,001132756-0101
GB801192014,001810012-0103
GB801192011,002292123-0103
GB801151748,000423405-0103
GB801101207,000216137-0103
GB801192012,001806288-0204
GB801101206,000306009-0103
GB801151746,000220569-0103
GB801192010,001396635-0403
GB801151747,001740008-0305
GB801151744,000215787-0102
GB801101203,002260215-0102
GB801151745,001299585-0103
GB801151743,000504912-0103
GB801192017,000843349-0403
GB801192015,002231416-0403
GB801000104,000806046-0401
GB801020193,000071436-0103
GB802840027,002300425-0506
GB801101201,001453604-0103
GB801941953,002649863-0103
GB801941951,000268134-0401
GB802050010,000170018-0505
GB802070022,000560653-0503
GB801941945,001098746-0403
GB801080892,001428383-0303
GB801080891,000233135-0403
GB801080890,000154978-0103
GB801080893,000417055-0103
GB801080899,000871083-0308
GB802940024,002812082-0503
GB801921091,000547802-0401
GB801941955,001110492-0103
GB801080884,000258826-0102
GB801080888,001110535-0103
GB801020198,000368259-0307
GB801020174,000893079-0103
GB801002502,000168672-0403
GB801020175,000426117-0103
GB801020172,000391122-0103
GB801020173,000920497-0103
GB801002506,000519452-0403
GB801850443,000099248-0208
GB801010123,000362165-0103
DB801211367,001039165-0103
GB801010124,000185925-0202
GB801941922,000347439-0103
GB801020168,000594084-0103
GB801010142,000897936-0103
GB801010143,001382262-0403
GB801010134,000976968-0103
GB801941937,000538467-0403
GB801171133,000910226-0305
GB801020177,001565866-0401
GB801050644,000157706-0103
GB801050645,000322675-0102
GB801050648,000460794-0102
DB801201333,001926148-0204
GB801921067,000510188-0403
GB801850458,000513552-0403
DB801060654,000282959-0103
GB802200006,009447272-0505
GB802200003,001636935-0502
GB802080025,000389061-0506
GB801060683,000317848-0103
GB802080029,000402224-0502
GB802080022,000392744-0504
GB801060686,000308098-0401
GB801941920,002508574-0402
GB801050651,000072819-0403
GB801060695,000339309-0103
GB801060696,000235019-0404
GB801941915,000790379-0103
GB801060691,000279425-0103
GB802080031,000159741-0502
DB801161113,000499516-0103
GB802080030,000430955-0504
GB801060697,000334282-0403
GB801131516,000596717-0403
GB801131519,000292301-0102
GB801141552,003224652-0101
GB801141556,000288947-0102
DB801090522,000533192-0403
GB802860003,000392453-0504
GB801131501,000215196-0103
GB802070017,000809626-0505
GB801131505,000339027-0403
GB801131506,000237142-0103
GB802070011,000303015-0504
GB801921078,001834798-0402
DB801080973,000283451-0103
GB802070010,000409949-0503
