GB801222105,003836344-0304
DB801910097,000286833-0305
GB801091116,000498124-0102
GB801161781,000505767-0204
GB801091119,000254201-0204
GB801010103,000099663-0403
GB802140010,001476168-0506
GB801222112,003243835-0103
GB801121407,000042364-0204
GB801191996,000418774-0204
GB801111292,000549246-0403
GB801111295,000921986-0103
GB801191994,001571431-0306
GB801992431,000426868-0403
GB801970525,001427014-0303
GB801000679,000311181-0305
GB801091000,000153868-0204
GB802170003,000298379-0502
GB801212091,001136851-0102
GB801161794,000504287-0204
DB801191295,001354194-0305
GB802170004,000517002-0503
DB801150983,000337628-0102
GB801212093,001405598-0103
GB801161792,000593026-0103
GB801212092,001411727-0403
GB801161793,000296459-0103
GB801202057,000618228-0103
GB801980574,000036154-0103
GB801202059,001901763-0103
GB801121410,000447837-0204
GB801952081,000127366-0203
GB801222124,000748995-0204
GB801222123,000240719-0403
GB801202056,002070333-0204
GB801151720,000469194-0403
GB801131475,000145217-0103
GB801080915,001856444-0102
GB801070791,000274917-0403
GB801181931,000251579-0103
GB801131478,000832437-0103
GB801191979,001498768-0103
GB802090016,000319202-0504
GB801161764,000280245-0304
GB801980577,000111064-0204
GB801910109,002025673-0204
GB801980582,000154448-0204
GB801101218,000164047-0103
GB801040413,000992468-0204
DB801040198,000216058-0103
GB801101215,000391997-0302
GB801101213,003117322-0204
GB801191976,000259124-0103
GB801080911,000325766-0204
GB801191974,001178507-0102
GB801191972,001108553-0403
GB801020243,001565733-0305
DB801950440,000302338-0305
GB801181922,000383213-0403
GB801091100,001518059-0204
GB801161779,001116762-0103
GB801101211,000930563-0403
GB801091101,000963687-0204
GB801091104,000005568-0403
DB801130895,000314527-0403
GB801151749,002210544-0403
GB801101205,000170636-0403
GB801910102,002177698-0204
GB801910103,000425149-0403
GB801121436,001722448-0403
DB801121393,000790149-0103
GB801192016,000999327-0203
GB801020254,000400164-0204
GB801212066,002081739-0103
GB801920210,000828898-0103
DB801980569,000502482-0204
DB801141663,002398924-0103
GB801020192,000367555-0103
DB801910975,000116357-0307
GB801900842,000156377-0401
DB801000155,000923049-0103
GB802110001,000379286-0505
DB801191243,000904652-0302
GB801121452,000359504-0403
GB801960468,000912958-0204
GB801960105,000177585-0103
GB801010027,002200803-0204
DB802100011,002525412-0502
GB801202021,001590569-0403
DB801040170,000194186-0103
GB801050577,000299311-0103
GB801050570,000203183-0103
DB801191257,000607537-0102
GB801121456,000332423-0305
DB801960293,000401371-0102
GB801990609,002100344-0204
GB801171833,000414043-0204
GB801121454,000419169-0103
GB801010036,000132527-0305
GB801121453,000417804-0204
GB801141605,000196237-0403
GB801080882,002125674-0103
GB801040467,000905135-0307
DB802200010,000445644-0502
GB801111305,000503502-0103
GB801212086,001740256-0403
GB801091096,002682194-0403
GB801000685,000389749-0204
GB801111300,000307773-0403
GB801920237,000936533-0204
GB801091099,000317406-0103
GB801000689,001013819-0204
DB801201350,001129443-0103
GB802010021,002526046-0503
GB801070758,000225562-0103
DB802080014,000922027-0502
GB801212083,000970892-0305
GB801070751,000314139-0103
GB801070754,000388675-0403
DB801191224,000184206-0306
GB801212081,000249031-0302
GB801181179,000242199-0403
DB801191225,000101986-0403
GB801960448,000196846-0204
GB801202048,000909293-0204
GB802160001,000485761-0504
DB801091136,000283248-0103
GB801202043,000990133-0103
GB801141632,001554699-0103
GB801141635,002282181-0103
GB801202040,000021923-0103
GB801060702,000500271-0103
GB801202041,001108817-0103
GB801212077,000572278-0401
GB801212074,001039817-0103
DB801000062,000351598-0103
DB801201343,002383114-0206
GB801920225,000359204-0305
GB801070741,000441655-0101
